=,1_1,1_2,1_3,1_4,1_5,1_6,2_1,2_2,2_3,2_4,2_5,2_6,3_1,3_2,3_3,3_4,3_5,3_6,4_1,4_2,4_3,4_4,4_5,4_6
650,1.0045,0.7495,0.56666,0.41274,0.26571,0.24395,0.011657,0.24526,1.003,1.1926,1.1566,0.356,1.1074,0.25507,1.1445,0.39936,0.66949,1.1028,0.52461,1.5562,0.48792,0.37324,0.68568,0.51623
660,1.005,0.80436,0.59495,0.44696,0.29962,0.29128,0.0060685,0.25783,1.0777,1.2768,1.2689,0.40239,1.1331,0.26603,1.2276,0.46484,0.70343,1.1651,0.53295,1.6068,0.50332,0.39237,0.74137,0.55398
670,1.0134,0.82816,0.61967,0.46571,0.32846,0.34802,0.0000468,0.28019,1.0826,1.3145,1.2965,0.47193,1.1902,0.27121,1.2441,0.51901,0.74799,1.179,0.535,1.6962,0.51504,0.41261,0.77617,0.60976
680,1.024,0.79653,0.61502,0.46443,0.34963,0.40536,0,0.28003,0.94893,1.242,1.1783,0.54836,1.2345,0.24938,1.1107,0.49212,0.77612,1.1239,0.54439,1.8193,0.51427,0.41881,0.74493,0.64993
690,1.024,0.79653,0.61502,0.46443,0.34963,0.40536,0,0.28003,0.94893,1.242,1.1783,0.54836,1.2345,0.24938,1.1107,0.49212,0.77612,1.1239,0.54439,1.8193,0.51427,0.41881,0.74493,0.64993
700,1.024,0.79653,0.61502,0.46443,0.34963,0.40536,0,0.28003,0.94893,1.242,1.1783,0.54836,1.2345,0.24938,1.1107,0.49212,0.77612,1.1239,0.54439,1.8193,0.51427,0.41881,0.74493,0.64993
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0.8840433835,0.8563109426,0.4394226042,0.2495566067,0.0986150394,0.0005952087,0,0.4504996678,0.2601916486,0.042241361,0.0400895994,0.0679360819,0.0822239911,0.1647856867,0.4163490719,0.0850423214,0.1377251187,0.108286474,0.0086021841,0.2462768058,0.2064594918,0.3322588653,0.1064565042,0.2286666616,0.1825991609
0.9170590887,0.8841550086,0.4472375477,0.250193118,0.1132105957,0.004042642,0,0.4192487342,0.2543392814,0.0618671241,0.0827685618,0.0869969413,0.1006571796,0.1954177899,0.3993665985,0.1256932883,0.1394578438,0.1341535834,0.0161364439,0.2419184719,0.2379225958,0.3305526615,0.1069073664,0.2341123688,0.2026846265
